Index,Designation,First Name,Alt First Name,Middle Name,Last Name,Alt Last Name,Title,Place,Organization
0,Individual,Willi,,,Aaron,,,,
1,Individual,Yitzhak,,,Aaron,,,,
2,Individual,Yehoshua,,Moshe,Aaronson,,,,
3,Individual,Ervin,,,Abadi,Abady,,,
4,Individual,Viktor,,,Abakumov,,,,
5,Individual,Nikolaus,,,Abakumow,,,,
6,Individual,,,,Abala,,,,
7,Individual,El,,Hachemi,Abdelaziz,,,,
8,Individual,Agha,,,Abdelkader,,,,
9,Individual,Artur,,,Abe,,,,
10,Individual,Jacob,,,Abecassis,,,,
11,Individual,,,,Abel,,,,
12,Individual,Wolfgang,,,Abel,,,,
13,Individual,Xavier,,,Abel,,,,
14,Individual,Carl,,,Abels,,,,
15,Individual,,,,Aberman,,,,
16,Individual,Józef,,,Aberman,,,,
17,Individual,Otto,,,Abetz,,,,
18,Individual,Benjamin,,,Abezgaus,,,,
19,Individual,Hanna,,,Abezgaus,,,,
20,Individual,Michel,,,Abitbol,,,,
21,Individual,Max,,,Ablinger,,,,
22,Individual,Herbert,,,Abraham,,,,
23,Individual,Hilde,,Fanny,Abraham,,,,
24,Individual,Max,,,Abraham,,,,
25,Individual,Walter,,,Abraham,,,,
26,Individual,Stephen,,,Abrahams,,,,
27,Individual,Iancu,,,Abram,,,,
28,Individual,Lajb,,,Abram,,,,
29,Individual,,,,Abramov,,,,
30,Family,,,,Abramov,,,,
31,Individual,Pesach,,,Abramov,,,,
32,Individual,Yehoshua,,,Abramov,,,,
33,Individual,,,,Abramovich,,,,
34,Family,,,,Abramovich,,,,
35,Individual,Velvel,,,Abramovich,,,,
36,Individual,Carol,,,Abramovici,,,,
37,Individual,Iosif,,,Abramovici,,,,
38,Individual,Pribluda,,Shloimu,Abramovici,,,,
39,Individual,B.,,M.,Abramovitch,,,,
40,Individual,A.,,,Abramovski,,,,
41,Individual,Lev,,,Abramovsky,,,,
42,Individual,Maria,,,Abramowicz-Rozencweig,,,,
43,Individual,,,,Abramowski,,,,
44,Individual,Creighton,,,Abrams,,,,
45,Individual,Paul,,,Abramsohn,,,,
46,Individual,Franz,,,Abromeit,,,,
47,Individual,,,,Abromson,,,,
48,Individual,Hermann,,J.,Abs,,,,
49,Individual,Albert,,M.,Abukhovich,,,,
50,Individual,Jean-Pierre,,,Acgoua,,,,
51,Individual,Alois/August,,,Achilles,,,,
52,Individual,Rudolf,,,Achs,,,,
53,Individual,Paula,Löffler,,Acker,,,,
54,Individual,Moise,,,Ackerman,,,,
55,Individual,Leo,,,Ackermann,,,,
56,Individual,Heinrich,,,Ackmann,,,,
57,Individual,,,,Adam,,,,
58,Individual,André,,,Adam,,,,
59,Individual,Gottlieb,,,Adam,,,,
60,Individual,Karl,,,Adam,,,,
61,Individual,Maria,,,Adamaszkowa,,,,
62,Individual,,,,Adamcewicz,,,,
63,Individual,Józef,,,Adamczuk,,,,
64,Individual,,,,Adamczyk,,,,
65,Family,,,,Adamczyk,,,,
66,Individual,Franciszek,,,Adamczyk,,,,
67,Individual,Jan,,,Adamczyk,,,,
68,Individual,Marianna,,,Adamczyk,,,,
69,Individual,Enrico,,,Adami,,,,
70,Individual,Takēs,,,Adamou,,,,
71,Individual,Arthur,,,Adamov,,,,
72,Individual,Iulian,,,Adamovici,,,,
73,Individual,Andreas,,,Adamy,,,,
74,Individual,Yehuda,,,Adelman,,,,
75,Individual,Konrad,,,Adenauer,,,,
76,Individual,A.,,,Adler,,,,
77,Individual,David,,,Adler,,,,
78,Individual,Francis,,,Adler,,,,
79,Individual,Gertrud,,,Adler,,,,
80,Individual,Helene,,,Adler,,,,
81,Individual,Henry,,,Adler,,,,
82,Individual,Henryk,,,Adler,,,,
83,Individual,J.,,,Adler,,,,
84,Individual,Moshe,,,Adler,,,,
85,Individual,Musia,,,Adler,,,,
86,Individual,Sara,,,Adler,,,,
87,Individual,,,,Admiralov,,,,
88,Individual,,,,Adolph,,,,
89,Individual,Heinz,,,Adrian,,,,
90,Individual,Albert,,,Aerts,,,,
91,Individual,Stanislaus,,,Affek,,,,
92,Individual,S.N.,,,Afrikanova,,,,
93,Individual,Vasile,,,Agafie,,,,
94,Individual,Alexander,,,Agafonow,,,,
95,Individual,Dumitru,,,Agapie,,,,
96,Individual,Vasile,,,Agapie,,,,
97,Individual,Viorica,,,Agarici,,,,
98,Individual,,,,Agement,,,,
99,Individual,Adrien,,,Agnes,,,,
100,Individual,Yitzchok,,,Agulnik,,,,
101,Individual,Georg,,,Ahlemann,,,,
102,Individual,Cheikh,,Chetout,Ahmed,,,,
103,Individual,Omar,,ben,Ahmed,,,,
104,Individual,Gustav,,,Ahne,,,,
105,Individual,,,,Ahrens,,,,
106,Individual,Christian,,,Ahrens,,,,
107,Individual,Moise,,,Ahtemberg,,,,
108,Individual,Abraham,,,Aichenstein,,,,
109,Individual,Ottomar,,,Aichhdzer,,,,
110,Individual,Hans,,,Aichholz,,,,
111,Individual,Leslie,,,Aigner,,,,
112,Individual,Chaim,,,Aisikowicz,,,,
113,Individual,Iosif,,,Aizemberg,,,,
114,Individual,Moshel,,,Aizenberg,,,,
115,Individual,Munysz,,,Aizenberg,,,,
116,Individual,Liza,,,Aizendorf,,,,
117,Individual,Henry,,,Aizenman,,,,
118,Individual,Juliy,,,Aizenshtadt,,,,
119,Individual,Naum,,,Aizenshtadt,,,,
120,Individual,Solomon,,,Aizic,,,,
121,Individual,Hersz,,,Ajdelsztejn,,,,
122,Individual,Helen,,,Ajdelsztejn-Erlich,,,,
123,Individual,,,,Ajger,,,,
124,Individual,Mordka,,,Ajnfeld,,,,
125,Individual,Jakub,,Josek,Ajsenberg,,,,
126,Individual,Golda,,,Ajzenberg,,,,
127,Individual,Jakub,,Josek,Ajzenberg,,,,
128,Individual,Pinchas,,,Ajzenberg,,,,
129,Individual,,,,Ajzenman,,,,
130,Individual,Hersz,,,Ajzenman,,,,
131,Individual,Izrael,,,Ajzenman,,,,
132,Individual,Pola,,,Ajzensztajn,,,,
133,Individual,J.,,,Ajzyk,,,,
134,Individual,Dawid,,,Akerman,,,,
135,Individual,Majer,,,Akierman,,,,
136,Individual,Allah,,,Akobabd,,,,
137,Individual,Fernand,,S.,Akoun,,,,
138,Individual,Catherine,,,Akpo-Vaché,,,,
139,Individual,Lazar,,,Akselrod,,,,
140,Individual,Meise/Moisei,,,Aksentsov,,,,
